time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
4.38333333,1.82785833,0.00000000,1.82785833,21,0.07076742
4.40000000,1.89620481,0.00000000,1.89620481,21,0.07076742
4.41666667,2.34898052,0.00000000,2.34898052,21,0.07076743
4.43333333,2.14894576,0.00000000,2.14894576,21,0.07076742
4.45000000,2.25770172,0.00000000,2.25770172,21,0.07076742
4.46666667,2.29527005,0.00000000,2.29527005,21,0.07076742
4.48333333,2.57412055,0.00000000,2.57412055,21,0.07076742
4.50000000,2.18610822,0.00000000,2.18610822,21,0.07076742
4.51666667,2.12493566,0.00000000,2.12493566,21,0.07076742
4.53333333,2.10624045,0.00000000,2.10624045,21,0.07076742
4.55000000,2.43485343,0.00000000,2.43485343,21,0.07076742
4.56666667,2.13265254,0.00000000,2.13265254,21,0.07076742
4.58333333,2.44599028,0.00000000,2.44599028,21,0.07076742
4.60000000,2.02699380,0.00000000,2.02699380,21,0.07076742
4.61666667,2.23465822,0.00000000,2.23465822,21,0.07076742
4.63333333,2.00570351,0.00000000,2.00570351,21,0.07076742
4.65000000,2.06748456,0.00000000,2.06748456,21,0.07076742
4.66666667,2.13902593,0.00000000,2.13902593,21,0.07076742
4.68333333,1.69171428,0.00000000,1.69171428,21,0.07076742
4.70000000,2.02571091,0.00000000,2.02571091,21,0.07076742
4.71666667,2.05628824,0.00000000,2.05628824,21,0.07076742
4.73333333,1.66693483,0.00000000,1.66693483,21,0.07076742
4.75000000,1.85158495,0.00000000,1.85158495,21,0.07076742
4.76666667,1.64970174,0.00000000,1.64970174,21,0.07076742
4.78333333,2.00872756,0.00000000,2.00872756,21,0.07076742
4.80000000,1.99247597,0.00000000,1.99247597,21,0.07076742
4.81666667,1.79339254,0.00000000,1.79339254,21,0.07076742
4.83333333,1.79343420,0.00000000,1.79343420,21,0.07076742
4.85000000,1.85113225,0.00000000,1.85113225,21,0.07076742
4.86666667,1.77500818,0.00000000,1.77500818,21,0.07076742
4.88333333,2.03130268,0.00000000,2.03130268,21,0.07076742
4.90000000,1.77984232,0.00000000,1.77984232,21,0.07076742
4.91666667,1.82751563,0.00000000,1.82751563,21,0.07076742
