time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
4.80000000,1111.50359344,0.00000000,1111.50343323,641,0.60372120
4.81666667,1021.77522278,0.00000000,1021.77518082,640,0.60372157
4.83333333,879.21718216,0.00000000,879.21719360,641,0.60372134
4.85000000,695.58573151,0.00000000,695.58571625,640,0.60372124
4.86666667,485.31822395,0.00000000,485.31817245,640,0.60372138
4.88333333,276.85039997,0.00000000,276.85043240,640,0.60372124
4.90000000,317.58330154,0.00000000,317.58329010,640,0.60372115
4.91666667,536.06558228,0.00000000,536.06556320,640,0.60372111
4.93333333,740.80633926,0.00000000,740.80638123,640,0.60372124
4.95000000,916.67699432,0.00000000,916.67699814,640,0.60372087
4.96666667,1041.39348984,0.00000000,1041.39334869,640,0.60372111
4.98333333,1111.52353668,0.00000000,1111.52345276,640,0.60372157
5.00000000,1125.43947601,0.00000000,1125.43966675,640,0.60372124
5.01666667,1066.21268463,0.00000000,1066.21269989,640,0.60372120
5.03333333,957.86601639,0.00000000,957.86606216,640,0.60372152
5.05000000,793.78327942,0.00000000,793.78333664,640,0.60372138
5.06666667,595.33507919,0.00000000,595.33506775,640,0.60372124
5.08333333,376.65081978,0.00000000,376.65082359,640,0.60372147
5.10000000,254.20077801,0.00000000,254.20077324,640,0.60372129
5.11666667,424.26650620,0.00000000,424.26652527,640,0.60372157
5.13333333,643.16086197,0.00000000,643.16083908,640,0.60372120
5.15000000,832.82239151,0.00000000,832.82248688,640,0.60372129
5.16666667,994.30226898,0.00000000,994.30221558,640,0.60372115
5.18333333,1096.37804413,0.00000000,1096.37816620,640,0.60372134
5.20000000,1137.91400909,0.00000000,1137.91406250,640,0.60372143
5.21666667,1110.02705383,0.00000000,1110.02702332,641,0.60372115
5.23333333,1021.50236893,0.00000000,1021.50229263,640,0.60372111
5.25000000,877.21318817,0.00000000,877.21324539,640,0.60372092
5.26666667,695.35607529,0.00000000,695.35599899,641,0.60372143
5.28333333,484.43346786,0.00000000,484.43343735,641,0.60372087
5.30000000,279.70021725,0.00000000,279.70020771,640,0.60372120
5.31666667,318.46997547,0.00000000,318.46997166,640,0.60372138
5.33333333,533.06650543,0.00000000,533.06652260,640,0.60372124
5.35000000,740.87893677,0.00000000,740.87892914,640,0.60372115
5.36666667,915.60218048,0.00000000,915.60210419,640,0.60372120
5.38333333,1042.87813187,0.00000000,1042.87809753,640,0.60372143
5.40000000,1112.15423584,0.00000000,1112.15421295,640,0.60372143
5.41666667,1122.07582092,0.00000000,1122.07580566,640,0.60372161
5.43333333,1071.55461121,0.00000000,1071.55445099,640,0.60372129
5.45000000,954.92452621,0.00000000,954.92451859,640,0.60372106
5.46666667,798.61853790,0.00000000,798.61855316,641,0.60372106
5.48333333,594.38364792,0.00000000,594.38365173,640,0.60372138
5.50000000,373.33068657,0.00000000,373.33069229,640,0.60372143
5.51666667,250.03969860,0.00000000,250.03970337,640,0.60372147
5.53333333,425.49955368,0.00000000,425.49953079,640,0.60372124
5.55000000,641.58491898,0.00000000,641.58490372,640,0.60372124
5.56666667,837.83726501,0.00000000,837.83739853,640,0.60372120
